"value_name","pay_value","unit_type","payroll_year","industry_branch_name","industry_code","food_name","food_code","price","price_value","price_unit","year_date"
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Mrkev,117106,18.55,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Papriky,117103,64.55,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Rajská jablka červená kulatá,117101,40.57,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Jablka konzumní,116104,29.94,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Banány žluté,116103,31.72,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Pomeranče,116101,32.6,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Rostlinný roztíratelný tuk,115201,91.44,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Máslo,115101,148.34,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Vejce slepičí čerstvá,114701,28.65,10.0,ks,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Eidamská cihla,114501,110.9,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Jogurt bílý netučný,114401,8.12,150.0,g,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Mléko polotučné pasterované,114201,17.9,1.0,l,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Šunkový salám,112704,130.21,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Kuřata kuchaná celá,112401,68.97,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Vepřová pečeně s kostí,112201,109.46,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Hovězí maso zadní bez kosti,112101,206.02,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Těstoviny vaječné,111602,44.82,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Pečivo pšeničné bílé,111303,40.84,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Chléb konzumní kmínový,111301,21.77,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Pšeničná mouka hladká,111201,11.03,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,18057.75,Kč,2016,Administrativní a podpůrné činnosti,N,Rýže loupaná dlouhozrnná,111101,36.52,1.0,kg,2016
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Kapr živý,2000001,87.17,1.0,kg,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,"Pivo výčepní, světlé, lahvové",213201,10.68,0.5,l,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Jakostní víno bílé,212101,92.42,0.75,l,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Přírodní minerální voda uhličitá,122102,8.71,1.0,l,2015
Průměrná hrubá mzda na zaměstnance,17064.88,Kč,2015,Administrativní a podpůrné činnosti,N,Cukr krystalový,118101,17.8,1.0,kg,2015
